,product_name,energy-kcal_100g
273,Биойогурт Тёма Лесные ягоды,86.282
274,Биойогурт Тёма Шиповник-малина,88.332
275,Биокефир Агуша 3.2%,57.198
276,Биокефир Останкинский 0.1%,27.989
277,Биокефир Тёма детский 3.2%,58.018
278,Биотворог Тёма c черникой,113.638
279,Биотворог Тёма c черносливом,112.818
280,Биотворог Тёма классический,98.11
281,Биотворог Тёма с абрикосом,114.048
282,Биотворог Тёма с яблоком и морковью,112.408
283,Бисквитник Сдобная особа медовый с вареной сгущенкой,392.824
284,Бисквитник Сдобная особа с начинкой маракуйя,386.928
285,Бисквитник Сдобная особа шоколадный с шоколадной начинкой,386.487
286,Бифацил,67.505
287,Бифитат,62.336
288,Бифштекс,395.934
289,Блинчики Ермолино с печенью Мамины,307.45
290,Блины,245.877
291,Блины с ветчиной,300.895
292,Блины с ветчиной и сыром,391.018
293,Блины с грибами,205.541
294,Блины с красной икрой,331.448
295,Блины с маслом,340.468
296,Блины с мёдом,361.575
297,Блины с сёмгой,322.921
298,Блины с сыром,357.377
299,Блины со сгущеным молоком,319.376
300,Блины со сметаной,321.167
301,Блюдо армянское Бозбаш 4 сезона,116.955
302,Блюдо болгарское Жаркое по-деревенски 4 сезона,140.019
303,Блюдо греческое Мясо по-македонски 4 сезона,207.809
304,Блюдо грузинское Чахохбили с фасолью 4 сезона,90.455
305,Блюдо индийское Цыплёнок карри 4 сезона,142.888
306,Блюдо испанское Паэлья 4 сезона,128.32
307,Блюдо итальянское Пенне карбонара 4 сезона,196.106
308,Блюдо итальянское Ризотто с морепродуктами 4 сезона,163.186
309,Блюдо китайское Курочка по-пекински 4 сезона,101.997
310,Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,166.046
311,Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,149.895
312,Блюдо мексиканское Чили кон карне 4 сезона,172.362
313,Блюдо наше Макароны по-флотски 4 сезона,210.051
314,Блюдо русское Барашек с гречкой 4 сезона,224.962
315,Блюдо среднеазиатское Лагман 4 сезона,154.841
316,Блюдо тайское Лапша карри 4 сезона,135.716
317,Блюдо узбекское Плов с бараниной 4 сезона,134.05
318,Блюдо французское Шампиньон де пари 4 сезона,136.635
319,Блюдо швейцарское Фондю эменталь 4 сезона,181.678
320,Блюдо японское Сакэна с рисом 4 сезона,101.426
321,Бобы,60.379
322,Бобы зелёные,68.579
323,Болдо,307.527
324,Бопс (Полосатик),76.665
325,Бораки,293.52
326,Борщ 4 сезона Московский,51.769
327,Борщ Hortex украинский,27.278
328,Борщ из свежей капусты с мясом,74.034
329,Борщ Леовит Худеем за неделю Сибирский с мясом,307.215
330,Борщ летний холодный,50.259
331,Борщ сибирский,49.605
332,Борщ Сибирский с фрикадельками,93.517
333,Борщ украинский,52.418
334,Борщик Heinz с говядинкой,383.273
335,Боярышник,57.4
336,Боярышник сушеный,155.8
337,Бразильский орех,695.166
338,Бренди,2.05
339,Брецель,281.24
340,Бриошь,325.515
341,Бротола,94.404
342,Брускетта,321.91
343,Брусника,46.875
344,Брусника 4 сезона,41.135
345,Брусника Hortex,37.336
346,Брусника мочёная,24.818
347,Брюква,37.419
348,Брюква запечённая,54.224
349,Брюква тушеная,119.145
350,Бублик,361.89
351,Бублик Украинский,332.106
352,Бублик Ярмарочный,338.91
353,Буженина вареная,241.347
354,Бузина,54.255
355,Бузинный сок,27.278
356,Буйволятина,200.528
357,Буйволятина вареная,284.646
358,Буйволятина жареная,352.468
359,Буйволятина тушеная,257.041
360,Букатини,351.448
361,Букет гарни,217.825
362,Буковый орех,627.27
363,Булгур,298.667
364,Булгур приготовленный,72.378
365,Булочка к чаю,296.218
366,Булочка Калорийная,374.954
367,Булочка отрубная,228.692
368,Булочка Столичная,271.358
369,Булочки 8 злаков,285.397
370,Булочки Бургундские,244.163
371,Булочки Бутербродные с кунжутом,322.328
372,Булочки для гамбургеров,279.06
373,Булочки для хот-догов,353.805
374,Булочки сдобные,347.266
375,Бульон говяжий,4.318
376,Бульон грибной,2.979
377,Бульон куриный,14.075
378,Бульон куриный крепкий домашний,35.748
379,Бульон куриный постный,0.41
380,Бульон овощной,5.439
381,Бульон рыбный,1.64
382,Бульонный кубик,43.18
383,Бумбу,57.862
384,Бурбон,1.64
385,Бутанику кадзукири,159.719
386,Бутанику рёри,288.238
387,Бычки в томатном соусе,90.33
388,Бычок,90.33
389,Бычьи яйца,239.51
390,Валериана,0.0
391,Валуи,35.473
392,Ванилин,53.409
393,Ваниль,57.099
394,Ванильная эссенция,52.999
395,Ванильный порошок,57.099
396,Варенец 2.5%,51.105
397,Варенец Останкинский 2.5%,51.925
398,Вареники от Ильиной с вишней,107.83
399,Вареники от Ильиной с картофелем,128.263
400,Вареники от Ильиной с клубникой,104.55
401,Вареники от Ильиной с творогом,157.918
402,Вареники от Ильиной с черникой,107.83
403,Вареники Хвалынские с картошкой и грибами,189.244
404,Варенье из абрикосов,254.2
405,Варенье из айвы,292.958
406,Варенье из апельсинов,302.305
407,Варенье из брусники,266.609
408,Варенье из вишни,262.4
409,Варенье из груши,293.368
410,Варенье из дыни,185.429
411,Варенье из земляники,239.959
412,Варенье из инжира,254.2
413,Варенье из кабачков,202.649
414,Варенье из клубники,305.559
415,Варенье из лимонов,246.0
416,Варенье из малины,292.958
417,Варенье из мандаринов,315.918
418,Варенье из облепихи,178.283
419,Варенье из одуванчиков,200.189
420,Варенье из персиков,275.93
421,Варенье из ревеня,344.535
422,Варенье из сливы,308.647
423,Варенье из тёрна,254.2
424,Варенье из черники,233.508
425,Варенье из чёрной смородины,302.279
426,Варенье из черноплодной рябины,308.32
427,Варенье из яблок,284.047
428,Васаби игай-яки,139.92
429,Васаби Сэн Сой Премиум,247.61
430,Ватрушка с творожной начинкой,342.419
431,Вафли MyProtein Wafers,473.615
432,Вафли венские с карамелью,431.966
433,Вафли венские со взбитыми сливками,443.187
434,Вафли с жирной начинкой,559.768
435,Вафли с фруктовой начинкой,370.822
436,Вафли Сдобная особа домашние с изюмом,462.763
437,Вафли Сдобная особа домашние сахарные,471.259
438,Вафли Сдобная особа мягкие с суфле классические,458.601
439,Вафли Сдобная особа мягкие с суфле со вкусом пломбира,458.601
440,Вафли Яшкино с карамельной начинкой,444.198
441,Венерка,84.32
442,Верблюжатина,164.816
443,Верблюжатина вареная,237.376
444,Верблюжатина жареная,289.815
445,Верблюжатина тушеная,212.039
446,Вермишель Myllyn Paras,346.009
447,Вермишель Бефстроганов соевая,258.347
448,Вермишель Макфа яичная длинная,351.199
449,Вермишелька Heinz звездочки Любопышки,376.567
450,Вермут,65.19
451,Вермут Cinzano Bianco белый,73.8
452,Вермут Cinzano Rose розовый,59.45
453,Вермут Martini,69.7
454,Вермут Martini Bianco белый,69.7
455,Вермут Martini Extra Dry сухой,10.25
456,Вермут Martini Rose розовый,65.6
457,Вермут Martini Rosso красный,61.5
458,Вермут Perlino Bianco белый,57.4
459,Вермут Perlino Rosso красный,57.4
460,Ветчина,280.36
461,Ветчина DAK Датская,115.06
462,Ветчина в форме,286.821
463,Ветчина из индейки обезжиренная,78.99
464,Ветчина Империя Вкуса из индейки,101.67
465,Ветчина Останкино нежная из индейки,154.4
466,Ветчина Останкино нежная из свиного окорока,165.87
467,Ветчина Пармская,309.475
468,Вешенки маринованные Steinhauer,18.035
469,Вешенки свежие,39.687
470,Вигна,93.096
471,Визига,30.449
472,Винегрет овощной готовый,77.833
473,Винегрет особый готовый,265.672
474,Винный камень,0.0
475,Вино Asti Mondoro белое полусладкое игристое,36.9
476,Вино Riunite D'Oro белое полусладкое игристое,24.6
477,Вино Riunite Lambrusco Emilia красное полусладкое игристое,24.6
478,Вино Riunite Lambrusco Rose розовое полусладкое игристое,24.6
479,Вино белое десертное 16%,67.65
480,Вино белое Мускат,20.5
481,Вино белое Рислинг,16.4
482,Вино белое Совиньон,8.2
483,Вино белое столовое 11%,1.64
484,Вино белое сухое,2.87
485,Вино белое Херес,12.3
486,Вино красное Божоле Нуво,10.25
487,Вино красное Бургундское,16.4
488,Вино красное десертное,84.05
489,Вино красное Кагор,65.6
490,Вино красное Киндзмараули,84.05
491,Вино красное Кьянти,11.48
492,Вино красное столовое 12%,2.05
493,Вино красное сухое,2.05
494,Вино красное Хванчкара,12.71
495,Вино медовое,87.33
496,Виноград,73.198
497,Виноградный компот,82.82
498,Виноградный сок,58.63
499,Виски,1.64
500,Вишнёвый компот,101.488
501,Вишнёвый нектар,49.61
502,Вишнёвый сок,44.69
503,Вишня,54.255
504,Вишня 4 сезона без косточки,49.008
505,Вишня Hortex без косточки,47.996
506,Вишня вяленая,305.45
507,Вишня замороженная,52.506
508,Вишня консервированная,48.598
509,Вишня сушеная,305.45
510,Вобла вяленая,241.335
511,Вобла копчёная,186.037
512,Вобла свежая,99.812
513,Вода,0.0
514,Вода минеральная,0.0
515,Вода содовая,0.0
516,Водка,0.41
517,Водка анисовая,3.389
518,Водоросли бурые,46.574
519,Водоросли зелёные,26.65
520,Водоросли красные,26.65
521,Водоросль вакаме,53.134
522,Водоросль далс,26.65
523,Водоросль ирландский мох (карраген),53.108
524,Водоросль кантен,27.88
525,Водоросль комбу,152.137
526,Водоросль лиму,26.458
527,Водоросль нори,358.039
528,Водоросль порфира,46.247
529,Водоросль спирулина,81.035
530,Водоросль ульва,23.37
531,Водоросль уми будо,29.546
532,Водоросль фукус,53.134
533,Воздушный рис,398.655
534,Волован,457.351
535,Галангал (корень),78.253
536,Галангал сушеный,331.151
537,Галеты Nordic из овса с брусникой,417.06
538,Галеты Любятово классические,368.258
539,Ганаш,555.845
540,Ганаш белый,562.068
541,Ганаш шоколадный,555.845
542,Гарам масала,385.35
543,Гвоздика,322.029
544,Гейнер BSN True-Mass,424.45
545,Гейнер BSN True-Mass 1200,409.108
546,Гейнер CytoSport Cyto Gainer,377.6
547,Гейнер CytoSport Monster Mass,435.437
548,Гейнер Dymatize Elite Mass Gainer,397.96
549,Гейнер Dymatize Elite Mega Gainer,401.453
550,Гейнер Dymatize Mega Gainer,442.344
551,Гейнер Dymatize Super Mass Gainer,395.396
552,Гейнер Gaspari Real Mass,388.649
553,Гейнер IronMaxx Titan V.2.0,376.51
554,Гейнер Max Power Big Muscle,371.595
555,Гейнер Muscletech 100% Premium Mass Gainer,377.252
556,Гейнер Muscletech Mass Tech Hardcore Pro,389.495
557,Гейнер Muscletech Mass Tech Performance,417.915
558,Гейнер Optimum Pro Complex Gainer,420.37
559,Гейнер Optimum Serious Mass,382.39
560,Гейнер Performance Amino Gainer,377.268
561,Гейнер Performance Turbo Mass Gainer,369.374
562,Гейнер Ultimate Iso Mass Xtreme Gainer,431.414
563,Гейнер Ultimate Magic Milk,463.63
564,Гейнер Ultimate Massive Whey Gainer,390.066
565,Гейнер Ultimate Muscle Juice 2544,406.368
566,Гематоген,362.84
567,Гематоген Русский детский,351.251
568,ГематогенКА,459.025
569,Геркулес Агро-Альянс Классик,309.94
570,Гладкоголов,50.451
571,Глинтвейн August Weinxof,30.75
572,Глинтвейн St Lorenz,32.8
573,Глухарь,261.65
574,Говядина,192.686
575,Говядина вареная,261.852
576,Говядина вареная нежирная,181.439
577,Говядина жареная,395.119
578,Говядина мраморная,166.7
579,Говядина постная,156.979
580,Говядина постная жареная,203.439
581,Говядина средней жирности,288.3
582,Говядина тушеная,238.887
583,Говядина тушеная Лента,219.43
584,Говяжий гуляш,153.528
585,Говяжий рубец,99.698
586,Говяжий фарш,256.32
587,Говяжий фарш жирный,293.75
588,Говяжий фарш постный,213.15
589,Говяжий хвост,141.155
590,Говяжий язык,151.281
591,Говяжий язык вареный,237.34
592,Говяжье вымя,177.703
593,Говяжье сердце,98.115
594,Говяжьи губы,107.95
595,Говяжьи легкие,89.645
596,Говяжьи легкие тушеные,118.013
597,Говяжьи мозги,127.864
598,Говяжьи ноги,163.814
599,Говяжьи почки,88.332
600,Говяжьи ребра,370.25
601,Говяжьи уши,124.687
602,Говяжья вырезка,224.9
603,Говяжья вырезка филейная,114.925
604,Говяжья грудинка,224.983
605,Говяжья грудинка копчёная,651.732
606,Говяжья грудинка копчёно-варёная,551.95
607,Говяжья лопатка,140.854
608,Говяжья пашина,231.704
609,Говяжья печень,127.199
610,Говяжья печень жареная,204.638
611,Говяжья печень нежирная,100.139
612,Говяжья покромка,224.9
613,Говяжья тазобедренная часть (огузок),142.276
614,Говяжья тушенка,219.456
615,Говяжья шейная часть,138.996
616,Голавль,125.004
617,Голец,144.793
618,Голубика,37.72
619,Голубиное мясо,296.952
620,Горбуша горячего копчения,165.724
621,Горбуша жареная в кляре,284.786
622,Горбуша запеченная в шубе,188.939
623,Горбуша маринованная,139.572
624,Горбуша натуральная Русский рыбный мир,141.84
625,Горбуша отварная,166.352
626,Горбуша свежая,144.435
627,Горбуша солёная,174.22
628,Горбыль,150.777
629,Горох варёный,61.5
630,Горох колотый Агро-Альянс,357.79
631,Горох лущеный,345.734
632,Горох маш,303.53
633,Горох маш (ростки),39.168
634,Горох маш Ярмарка Платинум,319.93
635,Горох Мистраль Айдахо,324.606
636,Горох Мистраль Орегон,368.175
637,Горох Пассим колотый,306.374
638,Горох сушёный,321.16
639,Горошек зелёный,78.938
640,Горошек зелёный 4 сезона,76.478
641,Горошек зелёный 6 соток,39.36
642,Горошек зелёный Globus,59.393
643,Горошек зелёный Hortex,73.006
644,Горошек зелёный Бондюэль замороженный,111.546
645,Горошек зелёный Бондюэль Нежный,52.288
646,Горошек зелёный Бондюэль с молодой морковью,56.305
647,Горошек зелёный Бондюэль с морковью в кубиках,55.158
648,Горошек зелёный замороженный,96.786
649,Горошек зелёный Каждый день замороженный,57.208
